Subject,PicSeq_AgeAdj,CardSort_AgeAdj,Flanker_AgeAdj,ReadEng_AgeAdj,PicVocab_AgeAdj,ProcSpeed_AgeAdj,ListSort_AgeAdj,CogFluidComp_AgeAdj,CogEarlyComp_AgeAdj,CogTotalComp_AgeAdj,CogCrystalComp_AgeAdj,Endurance_AgeAdj,Dexterity_AgeAdj,Strength_AgeAdj,Odor_AgeAdj,Taste_AgeAdj
100307,103.45,109.92,101.9,98.73,96.81,112.36,98.44,107.88,104.11,106.85,97.42,111.1,105.21,84.59,86.45,71.76
100408,125.19,100.77,113.51,125.64,132.63,96.0,102.63,113.77,129.99,133.96,134.57,121.8,106.24,124.24,98.04,113.59
101107,97.37,105.69,96.19,112.9757,116.9699,97.87,123.73,106.57,102.96,120.13,118.74,121.16,85.72,117.84,97.19,131.38
101309,93.36,86.03,103.37,92.68638,121.3679,87.33,108.26,90.01,95.03,100.32,110.72,83.62,96.8,122.43,110.45,104.39
101915,84.96,90.94,89.1,113.58,113.17,90.69,112.66,87.99,86.62,103.22,117.73,122.35,92.27,82.36,77.61,111.7
103111,106.3,96.85,94.84,110.2203,114.8949,81.57,122.75,100.56,102.43,113.45,117.11,105.61,83.73,130.83,111.41,107.3
103414,78.81,92.93,91.22,99.07,99.8,94.9,103.57,84.22,79.82,88.44,99.49,104.04,104.7,87.63,97.19,89.45
103818,92.52,97.14,92.26,112.95,128.16,95.98,112.66,95.9,100.08,115.58,124.18,98.55,88.62,80.66,98.04,87.88
105014,121.69,87.77,86.06,125.99,110.52,67.35,103.57,85.35,95.57,107.29,123.5,97.9,119.41,77.07,97.19,72.7
105115,106.3,99.13,97.76,111.07,113.4,91.59,122.75,105.98,104.35,116.5,116.28,112.59,95.95,127.04,77.61,91.19
106016,107.41,101.78,106.4,108.15,104.75,110.4,102.63,108.46,107.06,112.08,107.77,110.77,109.13,97.08,98.04,111.7
108828,71.59,91.42,96.53,111.0,109.34,105.62,93.3,83.74,83.96,96.69,113.24,110.81,87.79,119.31,87.11,89.59
110411,98.19,115.19,111.35,119.22,120.91,119.17,117.24,122.5,120.18,134.04,124.37,138.19,105.53,119.55,87.11,96.41
111312,125.19,107.04,106.47,76.58,90.92,113.41,102.63,118.47,114.12,101.2,78.3,93.42,84.97,96.89,111.41,115.37
111716,103.93,99.99,91.15,122.63,116.05,90.75,97.6,92.62,101.46,113.39,124.93,109.82,115.17,110.84,87.11,92.7
113619,98.84,98.91,96.61,113.81,124.75,103.5,107.32,100.19,104.48,118.51,123.11,109.58,96.48,86.45,111.41,95.48
113922,134.81,112.41,101.84,90.5,98.52,114.0,131.78,134.06,122.92,125.45,91.33,84.41,91.95,109.67,111.41,93.48
114419,120.31,97.17,92.83,108.7584,108.2175,117.3,112.66,113.1,106.26,118.24,111.34,113.93,89.07,119.34,98.04,77.45
115320,94.96,102.6,92.3,89.71,91.26,109.44,93.3,94.78,90.1,88.56,87.1,91.49,97.32,92.29,111.41,97.68
116524,76.17,91.32,100.75,80.83,74.63,99.37,98.44,85.74,76.41,75.57,74.77,105.45,94.78,126.16,110.45,104.39
117122,134.81,110.13,103.89,115.9,109.06,112.06,112.66,127.07,126.68,131.87,116.33,99.46,115.19,68.35,77.61,88.51
118528,99.78,117.33,103.98,95.53,115.13,103.49,94.33,106.92,116.61,112.46,107.59,107.79,110.68,68.16,97.19,100.24
118730,101.12,98.41,99.78,92.22,108.4,92.42,103.57,96.74,98.97,99.08,99.71,111.47,93.83,127.01,86.45,88.45
118932,96.13,101.02,102.39,117.51,103.89,112.36,94.33,99.3,97.64,110.42,113.38,133.37,96.33,133.47,77.12,81.46
120111,97.73,97.4,101.5,115.54,115.7,103.61,72.9,88.41,100.96,107.01,119.68,108.28,106.26,93.0,110.45,101.22
122317,117.41,91.88,97.24,86.85,97.61,81.98,112.66,99.89,99.21,92.99,87.97,100.65,108.06,126.84,98.04,93.48
122620,78.94,95.59,103.91,118.79,103.32,95.32,98.44,88.59,88.19,102.05,114.46,90.14,104.79,112.05,110.45,120.1
123117,69.15,109.72,108.92,95.14,101.79,102.81,80.7,89.98,94.81,91.6,97.19,106.72,89.7,134.49,110.45,87.7
123925,130.24,118.63,113.86,119.06,88.71,122.06,103.57,136.39,132.46,134.47,107.26,107.18,101.74,113.46,86.45,99.06
124422,86.89,100.25,101.84,70.97,92.16,109.47,84.01,92.17,90.38,78.37,75.34,95.48,101.01,104.21,98.04,98.45
125525,68.52,105.15,95.46,86.28,87.24,86.78,80.14,78.67,81.93,75.23,83.12,111.11,101.19,87.06,98.04,69.8
126325,112.67,111.71,113.19,120.23,109.88,93.92,103.57,114.77,122.63,127.63,119.12,107.31,108.35,99.71,77.12,94.97
127630,118.78,102.97,112.58,122.4219,107.2655,144.16,132.49,141.29,119.6,153.36,119.01,102.5,104.73,117.09,97.19,94.97
127933,117.41,109.02,100.65,126.41,107.26,114.24,112.66,118.88,114.86,130.91,123.31,113.93,101.01,129.22,98.04,115.14
128127,121.69,100.22,107.17,117.42,113.75,114.01,98.44,113.29,117.19,126.55,119.39,106.86,95.5,79.27,86.45,88.45
128632,88.08,96.6,99.38,91.18,103.13,98.3,107.32,95.56,91.38,93.62,95.19,91.54,109.42,103.18,111.41,121.03
129028,125.19,92.95,92.99,116.02,114.71,96.15,112.66,106.07,108.55,119.03,119.68,101.67,95.43,121.21,111.41,110.59
130013,81.77,94.31,100.65,112.12,114.82,110.92,103.57,94.11,91.21,110.02,117.6,102.24,96.67,112.05,97.19,102.92
130316,101.61,100.39,108.23,125.39,132.32,116.24,98.44,107.16,115.54,132.25,133.41,101.53,84.56,91.07,97.19,89.45
131217,134.81,110.04,112.1,113.2552,104.7501,113.48,84.01,119.93,128.81,124.5,111.44,101.15,110.78,111.98,111.41,71.78
131722,89.06,107.99,95.92,128.4089,122.6961,124.42,122.75,114.48,104.9,133.9,132.42,106.9,103.53,77.91,98.04,99.26
133019,89.99,89.78,104.87,104.35,104.6,97.99,89.14,87.54,90.39,94.44,104.82,114.19,106.65,91.48,97.19,117.02
133928,114.48,96.21,98.49,100.82,92.31,98.46,98.44,99.68,98.32,99.65,95.99,70.61,99.86,88.08,97.19,77.4
135225,130.24,111.17,109.45,103.96,105.87,109.18,98.44,122.34,127.58,125.37,105.18,101.89,115.09,68.83,110.45,94.28
135932,111.31,122.65,109.05,106.54,102.55,123.87,93.3,126.82,128.19,125.82,105.17,114.48,101.64,116.67,111.41,87.88
136833,103.95,96.14,103.31,110.47,128.32,97.23,107.32,101.51,110.17,119.28,123.08,94.44,96.44,86.81,87.11,95.48
138534,104.6,96.36,108.15,91.56,99.55,84.33,123.73,106.42,101.36,103.17,93.5,114.28,94.23,126.38,97.19,101.22
139637,134.81,115.75,100.58,96.52,107.24,110.13,97.6,121.35,127.69,120.76,102.83,114.56,104.06,103.18,98.04,98.45
